n_patterns,avg_time_ms,total_matches,total_bytes
8,8.838406,0,5000
16,8.353244,0,5000
24,8.369508,0,5000
32,8.328542,0,5000
40,8.395676,0,5000
48,8.752896,0,5000
56,8.499306,0,5000
64,8.548400,0,5000
72,8.440992,0,5000
80,8.556214,0,5000
88,8.575730,0,5000
96,8.589732,0,5000
104,8.854500,0,5000
112,9.077532,0,5000
120,9.185418,0,5000
128,8.670100,0,5000
136,8.658572,0,5000
144,8.686704,0,5000
152,8.683882,0,5000
160,8.720340,0,5000
168,8.667296,0,5000
176,8.710226,0,5000
184,8.540410,0,5000
192,8.674876,0,5000
200,8.896654,0,5000
208,8.809990,0,5000
216,8.742312,0,5000
224,8.826504,0,5000
232,8.662446,0,5000
240,9.513288,0,5000
248,8.979924,0,5000
256,8.756568,0,5000
264,8.862490,0,5000
272,9.081202,0,5000
280,9.081356,0,5000
288,9.045500,0,5000
296,9.487318,0,5000
304,9.370846,0,5000
312,9.362150,0,5000
320,9.073150,0,5000
328,9.098036,0,5000
336,9.843642,0,5000
344,9.310850,0,5000
352,9.389288,0,5000
360,9.665782,0,5000
368,9.345618,0,5000
376,9.353222,0,5000
384,9.270592,0,5000
392,9.293106,0,5000
400,9.262158,0,5000
408,9.247212,0,5000
416,9.212774,0,5000
424,9.324332,0,5000
432,9.263000,0,5000
440,9.171008,0,5000
448,9.318726,0,5000
456,9.754406,0,5000
464,9.398030,0,5000
472,9.606082,0,5000
480,9.609644,0,5000
488,9.923738,0,5000
496,9.451998,0,5000
8,8.200647,0,100000
16,8.427715,0,100000
24,8.576305,0,100000
32,8.600550,0,100000
8,8.481533,13,100000
16,8.608448,32,100000
24,8.741912,36,100000
32,8.764972,43,100000
40,8.726358,51,100000
48,8.775069,71,100000
56,8.804135,90,100000
64,8.724537,96,100000
72,8.767524,106,100000
80,8.865196,110,100000
88,8.634868,128,100000
96,8.637063,120,100000
104,8.887347,146,100000
112,8.763072,163,100000
120,8.813615,160,100000
128,8.860316,196,100000
136,8.870195,187,100000
144,8.791663,205,100000
152,8.917148,207,100000
160,8.775610,238,100000
168,8.762771,245,100000
176,8.755150,275,100000
184,8.817934,252,100000
192,8.929156,251,100000
200,8.906672,250,100000
208,8.822937,319,100000
216,8.842576,304,100000
224,8.842957,296,100000
232,8.857294,319,100000
240,8.870777,380,100000
248,8.980951,331,100000
256,8.959177,355,100000
264,8.979084,373,100000
272,9.046992,372,100000
280,9.155881,395,100000
288,9.183507,380,100000
296,8.974688,412,100000
304,9.014957,454,100000
312,9.034317,434,100000
320,9.040961,426,100000
328,9.055773,451,100000
336,9.079971,463,100000
344,9.076711,456,100000
352,9.086208,521,100000
360,9.169649,506,100000
368,9.098571,530,100000
376,9.083095,538,100000
384,9.273953,558,100000
392,9.176870,582,100000
400,9.157795,542,100000
408,9.149281,657,100000
416,9.207570,622,100000
424,9.201879,594,100000
432,9.627618,551,100000
440,9.292425,644,100000
448,9.241589,627,100000
456,9.209976,590,100000
464,9.217330,661,100000
472,9.223307,679,100000
480,9.246535,738,100000
488,9.230468,683,100000
496,9.289024,675,100000
504,9.339046,697,100000
512,9.311467,729,100000
520,9.325915,783,100000
528,9.328145,753,100000
536,9.340620,774,100000
544,9.374403,784,100000
552,9.420816,781,100000
560,9.345017,793,100000
568,9.389080,758,100000
576,9.415458,797,100000
584,9.450924,764,100000
592,9.416631,853,100000
600,9.464716,823,100000
608,9.479567,859,100000
616,9.549061,887,100000
624,9.492847,853,100000
632,9.406697,906,100000
640,9.417808,928,100000
648,9.494631,923,100000
656,9.779934,888,100000
664,9.863563,974,100000
672,9.998344,936,100000
680,9.906051,971,100000
688,9.998191,980,100000
696,9.770956,997,100000
704,9.847959,971,100000
712,9.840182,1065,100000
720,10.628215,1048,100000
728,9.905463,1018,100000
736,9.678567,1005,100000
744,9.682745,1069,100000
752,9.603262,1085,100000
760,9.598028,1107,100000
768,9.713321,1059,100000
776,9.656584,1111,100000
784,9.618135,1134,100000
792,9.646813,1129,100000
800,9.713935,1096,100000
808,9.773615,1155,100000
816,9.711644,1181,100000
824,9.720630,1131,100000
832,9.733844,1181,100000
840,9.765260,1186,100000
848,9.906115,1229,100000
856,9.905680,1224,100000
864,9.805687,1181,100000
872,9.859071,1219,100000
880,9.778959,1218,100000
888,9.830277,1234,100000
896,9.894856,1275,100000
904,9.953193,1292,100000
912,9.884978,1274,100000
920,10.220400,1339,100000
928,10.097984,1304,100000
936,9.996999,1305,100000
944,10.011849,1352,100000
952,9.995937,1345,100000
960,10.008341,1377,100000
968,10.248879,1410,100000
976,10.080365,1402,100000
984,10.022253,1443,100000
992,10.271039,1435,100000
1000,10.371772,1378,100000
1008,10.242020,1463,100000
1016,10.295625,1376,100000
1024,10.557347,1392,100000
1032,10.181630,1463,100000
1040,10.113774,1514,100000
1048,10.547291,1486,100000
1056,10.431684,1487,100000
1064,10.198784,1540,100000
1072,10.140213,1538,100000
1080,10.203185,1526,100000
1088,10.205058,1585,100000
1096,10.234621,1511,100000
1104,10.178633,1595,100000
1112,10.205931,1550,100000
1120,10.274873,1595,100000
1128,10.301798,1620,100000
1136,10.243206,1646,100000
1144,10.500423,1622,100000
1152,14.783277,1625,100000
1160,13.355869,1661,100000
1168,12.733831,1651,100000
1176,12.677629,1726,100000
1184,12.732195,1627,100000
1192,12.762395,1622,100000
1200,12.589834,1691,100000
1208,12.827481,1763,100000
1216,12.789577,1787,100000
1224,12.237146,1747,100000
